,neg_elbo,entropy,log_prior,recon
0,12384115.0,905604.06,-11478512.0,-12016535.0
1,10858787.0,846123.2,-10012662.0,-10481782.0
2,10166470.0,795585.56,-9370884.0,-9781049.0
3,9683617.0,766792.56,-8916824.0,-9292106.0
4,9337187.0,753337.06,-8583851.0,-8941762.0
5,9065110.0,748115.56,-8316994.5,-8667056.0
6,8823133.0,747869.75,-8075262.5,-8423143.0
7,8625947.0,748778.3,-7877168.5,-8224602.0
8,8428918.0,752145.9,-7676772.5,-8026704.5
9,8270578.5,756447.94,-7514129.5,-7867870.0
10,8124723.0,761931.7,-7362791.0,-7721566.5
11,7982211.0,767820.56,-7214391.0,-7578716.5
12,7833215.0,774825.7,-7058390.5,-7429400.5
13,7636735.5,782718.44,-6854017.5,-7232812.5
14,7431474.0,796362.2,-6635110.5,-7027075.5
15,7356777.5,814931.44,-6541847.0,-6952307.0
16,7290826.0,829013.25,-6461813.0,-6886354.0
17,7262072.5,841208.8,-6420863.5,-6857593.5
18,7213235.5,851696.7,-6361540.5,-6808705.5
19,7197680.5,861702.1,-6335979.0,-6793166.5
20,7157051.5,871405.1,-6285648.0,-6752351.0
21,7133502.0,880898.06,-6252603.5,-6728761.0
22,7106544.0,891763.94,-6214779.5,-6701474.0
23,7089925.0,901840.75,-6188082.5,-6684740.5
24,7067080.0,911290.25,-6155789.0,-6661826.5
25,7044659.0,921938.6,-6122721.0,-6639134.0
26,7021048.0,931464.06,-6089584.5,-6615522.0
27,6998875.0,939927.4,-6058948.5,-6593435.5
28,6978968.0,949197.0,-6029771.5,-6573472.5
29,6957751.0,955807.4,-6001944.0,-6552400.5
30,6943327.5,963457.56,-5979870.0,-6538179.0
31,6912275.0,971604.4,-5940671.0,-6507087.0
32,6907459.0,978618.9,-5928840.5,-6502458.0
33,6881774.0,985921.94,-5895851.5,-6476878.0
34,6860729.0,993649.44,-5867078.0,-6455791.0
35,6833694.0,999315.94,-5834378.0,-6428977.0
36,6826486.5,1003929.7,-5822556.5,-6422025.5
37,6812496.0,1010177.06,-5802318.5,-6408077.0
38,6799206.0,1015166.9,-5784039.5,-6395010.5
39,6784962.0,1019184.4,-5765777.0,-6381013.5
40,6776614.5,1022412.8,-5754201.0,-6373139.0
41,6757546.5,1027416.06,-5730131.0,-6354043.0
42,6758657.5,1030627.2,-5728030.5,-6355422.0
43,6746296.0,1034650.6,-5711645.0,-6343149.0
44,6754394.0,1036177.2,-5718216.0,-6351516.5
45,6737708.5,1040353.56,-5697355.0,-6334867.5
46,6725951.5,1041926.1,-5684024.5,-6323315.0
47,6718838.0,1044345.6,-5674491.5,-6316479.0
48,6706025.5,1047449.94,-5658576.5,-6303634.5
49,6713622.5,1050107.4,-5663515.0,-6311165.5
50,6705915.5,1052317.0,-5653598.5,-6303503.0
51,6698278.5,1054002.1,-5644275.5,-6295994.0
52,6698167.0,1055764.8,-5642402.5,-6295966.5
53,6691304.5,1057414.4,-5633890.0,-6289134.5
54,6695267.5,1059863.1,-5635404.5,-6293121.0
55,6690618.5,1060541.2,-5630078.0,-6288367.0
56,6679325.0,1062770.9,-5616554.0,-6277063.0
57,6672842.0,1064167.6,-5608673.5,-6270552.0
58,6676455.0,1066592.1,-5609862.5,-6274119.5
59,6671614.5,1066928.8,-5604686.0,-6269300.5
60,6673358.5,1067871.2,-5605488.0,-6271109.5
61,6665394.0,1069076.2,-5596318.5,-6263129.5
62,6672806.5,1070658.8,-5602147.5,-6270417.5
63,6660108.5,1071995.5,-5588112.5,-6257598.0
64,6658261.0,1073215.9,-5585045.5,-6255760.0
65,6660123.5,1073858.4,-5586265.0,-6257574.5
66,6653554.5,1075018.1,-5578536.5,-6251001.0
67,6657408.0,1075788.8,-5581619.5,-6254688.0
68,6658398.5,1076939.6,-5581458.5,-6255609.0
69,6655786.0,1079330.9,-5576456.0,-6252830.5
70,6652757.5,1078916.4,-5573841.0,-6249818.0
71,6656309.0,1079160.1,-5577148.5,-6253368.0
72,6645688.0,1079855.2,-5565832.0,-6242647.5
73,6650962.0,1081068.8,-5569893.5,-6247849.0
74,6647194.0,1081369.1,-5565825.5,-6243913.5
75,6648516.5,1082485.0,-5566032.0,-6245154.0
76,6644402.5,1083201.6,-5561200.5,-6240963.5
77,6655112.5,1083180.8,-5571931.5,-6251756.5
78,6645920.5,1084721.4,-5561198.5,-6242356.5
79,6645729.5,1084575.6,-5561154.5,-6242171.5
80,6634393.0,1084642.6,-5549751.0,-6230759.0
81,6649235.5,1085709.0,-5563527.5,-6245467.0
82,6640598.0,1085776.1,-5554823.5,-6236789.0
83,6641163.5,1086454.2,-5554709.5,-6237171.5
84,6643212.5,1086706.9,-5556505.0,-6239088.0
85,6640803.0,1087540.8,-5553262.5,-6236659.0
86,6641012.5,1088259.2,-5552753.0,-6236775.5
87,6632723.5,1088525.8,-5544198.0,-6228563.0
88,6642172.5,1089252.0,-5552921.5,-6237742.5
89,6643321.0,1090176.4,-5553145.0,-6238773.5
90,6642611.0,1090482.6,-5552128.5,-6237919.0
91,6643760.0,1090443.2,-5553317.0,-6239079.5
92,6633024.5,1089975.0,-5543049.5,-6228283.0
93,6636473.0,1090941.5,-5545532.5,-6231693.0
94,6628940.5,1091449.9,-5537491.0,-6224030.0
95,6632629.5,1091455.1,-5541174.0,-6227717.0
96,6642075.5,1091502.8,-5550573.0,-6237135.0
97,6634299.0,1092193.8,-5542104.5,-6229200.5
98,6630040.0,1092673.0,-5537368.0,-6224820.5
99,6641938.0,1093386.5,-5548552.0,-6236674.0
100,6639258.0,1093588.9,-5545668.5,-6233971.5
101,6632197.5,1093256.6,-5538941.0,-6226815.5
102,6636554.0,1093743.8,-5542810.5,-6231157.5
103,6634912.5,1094488.4,-5540423.5,-6229328.0
104,6626814.0,1094127.6,-5532685.5,-6221200.0
105,6632951.5,1094145.8,-5538806.5,-6227272.5
106,6633073.5,1095173.8,-5537899.0,-6227217.0
107,6625458.5,1095479.8,-5529979.0,-6219544.5
108,6630585.0,1095384.6,-5535201.0,-6224799.0
109,6627120.5,1095262.5,-5531857.5,-6221155.5
110,6626575.5,1095611.6,-5530963.0,-6220531.5
111,6629723.5,1095985.2,-5533738.0,-6223618.5
112,6629689.5,1096417.1,-5533271.5,-6223512.5
113,6623633.0,1096477.5,-5527156.5,-6217359.5
114,6628965.5,1097240.9,-5531725.0,-6222636.5
115,6624774.0,1097687.6,-5527087.5,-6218303.0
116,6622699.5,1096531.5,-5526167.0,-6216225.5
117,6631571.0,1096867.5,-5534703.5,-6225049.5
118,6622848.0,1097364.1,-5525483.5,-6216192.5
119,6630118.0,1097651.4,-5532466.0,-6223337.5
120,6617512.5,1097455.9,-5520056.5,-6210657.0
121,6620645.5,1097853.4,-5522791.0,-6213793.5
122,6623959.5,1098030.9,-5525928.5,-6217102.0
123,6628087.0,1098602.9,-5529485.0,-6221137.5
124,6624370.5,1098432.8,-5525938.0,-6217403.0
125,6629944.5,1098854.8,-5531089.0,-6222858.5
126,6625469.5,1098597.4,-5526871.5,-6218334.5
127,6630552.5,1098375.1,-5532178.0,-6223387.0
128,6612154.0,1098716.6,-5513437.0,-6204831.5
129,6625394.5,1099025.8,-5526368.5,-6218080.5
130,6626094.0,1099816.0,-5526278.0,-6218650.0
131,6626280.5,1100343.4,-5525937.0,-6218836.5
132,6625253.0,1100121.4,-5525130.5,-6217726.5
133,6625645.5,1099664.6,-5525979.5,-6218110.0
134,6621941.0,1099645.1,-5522295.5,-6214317.0
135,6622975.0,1099950.8,-5523024.0,-6215257.5
136,6611572.5,1100265.8,-5511306.5,-6203824.0
137,6620571.0,1100304.9,-5520267.0,-6212818.5
138,6623542.5,1100964.2,-5522577.5,-6215681.5
139,6620317.5,1099833.9,-5520483.5,-6212548.5
140,6627666.0,1100723.6,-5526942.0,-6219648.0
141,6623850.5,1101697.9,-5522152.5,-6215844.5
142,6619763.5,1101659.1,-5518105.0,-6211625.0
143,6616979.0,1101329.2,-5515649.5,-6208927.0
144,6619933.5,1101377.8,-5518555.0,-6211798.5
145,6620644.5,1101522.9,-5519121.5,-6212455.5
146,6604821.5,1101252.4,-5503569.0,-6196589.5
147,6620642.5,1101602.1,-5519041.0,-6212349.0
148,6622000.0,1101738.9,-5520260.5,-6213726.0
149,6618705.0,1101791.9,-5516913.5,-6210346.0
