,0,1,2,3,4,5
0,0.01163899,0.008196739,0.79860216,0.014219286,0.035418034,0.42888382
1,0.835305,0.20516488,0.016867343,0.24489859,0.02114641,0.04967912
2,0.026109776,0.012255911,0.54574627,0.017348727,0.100086555,0.022233991
3,0.012847507,0.18542676,0.007952785,0.014434005,0.011539665,0.011172737
4,0.00889202,0.16020171,0.00584885,0.007396515,0.007857075,0.01365007
5,0.01854553,0.010228775,0.44996274,0.020937275,0.15662766,0.017983126
6,0.23107061,0.09009471,0.3959615,0.038986586,0.030952644,0.11875123
7,0.011531118,0.012717729,0.008690813,0.2425013,0.10525404,0.013518691
8,0.011158479,0.009029067,0.14117363,0.011513023,0.07155516,0.01063437
9,0.030107554,0.007456803,0.008870714,0.090584815,0.01094605,0.009208465
10,0.22410585,0.13273704,0.11172088,0.012447811,0.018161254,0.115752004
11,0.018922033,0.014393255,0.6492068,0.045227658,0.10623225,0.009675335
12,0.051692635,0.016446795,0.9690804,0.11231628,0.018084621,0.02523614
13,0.008316977,0.007053288,0.008049675,0.006123677,0.005379991,0.25816333
14,0.00850392,0.011752977,0.05976151,0.010992136,0.0069183297,0.0071075093
15,0.007100017,0.008302063,0.38498598,0.0096216,0.011383563,0.009326373
16,0.021160536,0.2386535,0.009881215,0.20353603,0.26843667,0.116888955
17,0.015162512,0.010012902,0.014805507,0.012715927,0.016610514,1.6080195
18,0.006618529,0.006909668,0.01555173,0.008713712,0.18395469,0.011316373
19,0.1615533,0.014656785,0.030114079,0.034474026,0.013060464,0.087173775
20,0.006541878,0.006605209,0.020079156,0.01073449,0.096264236,0.010357206
21,0.010387674,0.07349251,0.0062321275,0.02662289,0.0053918045,0.008207299
22,0.013571741,0.08169773,0.008516105,0.006964889,0.025744762,0.012286902
23,0.015537541,0.0077090296,0.011233342,0.22464357,0.011331306,0.00962877
24,0.015831012,0.012129189,0.008996011,0.16024265,0.19083777,0.088539705
25,0.021911705,0.1373406,0.016417643,0.3676925,0.017283702,0.29079977
26,0.010151136,0.0068267104,0.11411752,0.007081692,0.010463918,0.04069067
27,0.016408827,0.34003437,0.05396028,0.21810898,0.61339915,0.021134831
28,0.025762567,0.31152683,0.028920764,7.2027483,0.026217684,0.03625092
29,0.014192211,0.01725267,0.5828504,0.74628305,0.05800125,0.24469937
30,0.016156506,0.3229227,0.15872918,0.016443081,0.015096901,0.023655612
31,0.011637099,0.008284859,0.4588601,0.01127249,0.006636821,0.010225662
32,0.0990556,0.2558106,0.008216668,0.1895475,0.010052405,0.011696832
33,0.011718645,0.09009572,0.020717204,0.0057557295,0.009881222,0.008367135
34,0.05119068,0.05305232,0.029553846,0.009763626,0.0045608133,0.012574538
35,0.00772386,0.35945418,0.016257945,0.013886998,0.009581798,0.020362599
36,0.0077629816,0.016450882,0.013711158,0.016607728,0.013079263,2.226752
37,0.013295876,0.02265059,0.007514805,0.11460357,0.013224902,0.06597281
38,0.625317,0.02462337,0.015412743,0.013678254,0.15153746,0.008508731
39,0.027110843,0.005209203,0.007815389,0.01060157,0.22685656,0.063412026
40,0.089683026,0.012928091,0.020000827,0.050021514,0.009618329,0.8702669
41,0.016876917,0.010743813,0.030611109,0.0099371765,0.012438334,0.52380466
42,0.008188212,0.0075360765,0.008525017,0.013010642,0.0076608183,0.23857538
43,1.151004,0.012114462,0.020903712,0.034830913,0.020685673,0.019765077
44,0.016014112,0.6746799,0.009249614,0.15061812,0.019320544,0.015552171
45,0.010151529,0.011304856,0.23693955,0.021434015,0.015286831,0.066672266
46,0.01370069,0.2702354,1.2694759,0.023780428,0.0136164585,0.05912071
47,0.08894302,0.009806015,0.010260511,0.06668104,0.007374253,0.0112123685
48,0.019047609,0.0069521833,0.008570604,0.011057798,0.082816094,0.024602477
49,0.016748916,0.015725078,0.016139785,0.107811876,0.018185306,0.007007216
50,0.05046914,0.6675556,0.078304775,0.04236578,0.18681614,0.01672163
