,neg_elbo,entropy,log_prior,recon
0,10001414.0,739692.3,-9261722.0,-9694691.0
1,8840290.0,699079.1,-8141211.0,-8526595.0
2,8280125.0,661552.25,-7618573.0,-7959616.5
3,7893339.5,640217.1,-7253122.5,-7568370.5
4,7613382.5,631365.94,-6982016.0,-7285318.0
5,7398306.0,628269.8,-6770036.5,-7068219.0
6,7222998.0,628683.75,-6594314.0,-6891647.5
7,7051074.0,631312.25,-6419762.0,-6718635.5
8,6907220.5,635253.8,-6271966.0,-6574052.0
9,6787259.5,639435.6,-6147824.0,-6453605.0
10,6668484.0,643797.56,-6024687.5,-6334455.0
11,6559878.5,648664.75,-5911213.5,-6225687.5
12,6437744.5,654737.25,-5783007.5,-6103478.0
13,6316652.0,662013.94,-5654638.0,-5982165.0
14,6149543.5,671196.56,-5478347.5,-5814450.5
15,6082757.0,686687.1,-5396070.5,-5747297.5
16,6046927.5,699402.94,-5347524.0,-5711458.0
17,6009527.0,709711.06,-5299815.5,-5673942.0
18,5981243.5,718418.9,-5262824.5,-5645623.0
19,5954187.0,727345.5,-5226841.0,-5618403.0
20,5934635.0,736028.25,-5198606.5,-5598670.5
21,5909434.0,744799.25,-5164635.0,-5573207.0
22,5887952.5,752503.2,-5135448.5,-5551601.5
23,5867919.5,761073.5,-5106846.0,-5531447.5
24,5852064.0,768752.25,-5083312.0,-5515465.5
25,5835555.0,777529.94,-5058025.5,-5498835.0
26,5810412.0,784935.94,-5025476.0,-5473681.5
27,5794489.5,793214.9,-5001275.0,-5457567.5
28,5777325.5,800849.75,-4976476.0,-5440342.0
29,5756638.5,808009.2,-4948629.0,-5419618.5
30,5739607.5,814091.25,-4925516.0,-5402718.5
31,5712966.0,821154.3,-4891812.0,-5375838.5
32,5694550.5,828338.0,-4866212.0,-5357414.0
33,5688558.0,833301.06,-4855257.5,-5351522.0
34,5674147.0,839109.1,-4835037.5,-5337195.5
35,5665523.0,843881.1,-4821642.0,-5328511.0
36,5653307.5,848739.75,-4804567.5,-5316591.5
37,5646051.0,853221.25,-4792830.0,-5309329.5
38,5631225.5,857341.4,-4773884.5,-5294702.5
39,5624381.0,861199.06,-4763181.5,-5287816.5
40,5620221.5,864666.94,-4755554.0,-5283854.5
41,5610837.0,867741.8,-4743095.5,-5274448.5
42,5604436.5,870457.75,-4733979.5,-5268133.0
43,5604768.0,874400.94,-4730366.5,-5268523.0
44,5598528.0,876714.25,-4721814.5,-5262362.5
45,5591735.5,879341.5,-4712394.0,-5255250.0
46,5584462.0,882180.8,-4702281.5,-5248060.5
47,5585834.0,884663.94,-4701170.5,-5249532.0
48,5578834.5,886956.0,-4691878.5,-5242485.0
49,5573266.5,889225.6,-4684041.5,-5236792.0
50,5574667.0,891784.3,-4682883.0,-5238078.5
51,5568035.0,893353.5,-4674681.5,-5231508.5
52,5559115.5,895874.8,-4663241.0,-5222367.5
53,5554663.0,896969.75,-4657693.0,-5217917.0
54,5560772.0,898438.94,-4662333.0,-5224001.0
55,5557158.5,900316.56,-4656842.0,-5220247.5
56,5558686.5,902325.25,-4656361.5,-5221484.0
57,5550306.0,903152.5,-4647154.0,-5213226.5
58,5550493.5,904923.1,-4645570.0,-5213347.0
59,5555813.0,904963.25,-4650850.0,-5218688.5
60,5552950.5,907095.75,-4645854.5,-5215608.5
61,5548704.0,907636.5,-4641068.0,-5211297.0
62,5543341.5,908671.6,-4634670.0,-5205951.5
63,5542493.5,909353.44,-4633140.5,-5205073.5
64,5546223.5,910511.5,-4635711.5,-5208761.5
65,5536774.0,912440.5,-4624333.0,-5199117.5
66,5536432.5,913342.4,-4623090.0,-5198502.5
67,5535986.0,914170.3,-4621815.0,-5197971.0
68,5545863.0,914341.44,-4631522.0,-5207872.0
69,5534363.0,915887.2,-4618476.0,-5196068.5
70,5536810.0,916664.4,-4620145.5,-5198468.5
71,5531166.5,917260.6,-4613906.0,-5192933.0
72,5536281.5,917542.6,-4618739.0,-5197874.5
73,5533125.0,918445.94,-4614679.0,-5194605.0
74,5529860.5,919126.25,-4610734.5,-5191353.5
75,5525519.5,920252.75,-4605266.5,-5186719.5
76,5527927.5,919860.9,-4608066.5,-5189266.5
77,5525974.0,921012.56,-4604960.5,-5187144.0
78,5521422.0,921455.44,-4599966.5,-5182471.0
79,5520658.5,921314.2,-4599344.5,-5181798.5
80,5523543.0,922051.8,-4601491.0,-5184518.0
81,5527007.5,923077.75,-4603929.5,-5187782.0
82,5527800.5,923640.6,-4604159.0,-5188423.5
83,5520878.5,924320.56,-4596558.0,-5181479.5
84,5528802.0,924797.25,-4604004.5,-5189357.0
85,5522397.0,924391.44,-4598005.5,-5182800.5
86,5521368.5,925598.25,-4595770.0,-5181610.5
87,5522258.0,925160.4,-4597097.5,-5182617.0
88,5525521.5,926124.94,-4599396.0,-5185722.0
89,5521886.0,926809.44,-4595076.5,-5181917.5
90,5525307.0,926874.4,-4598432.5,-5185339.0
91,5521220.5,927778.94,-4593441.5,-5181096.5
92,5519766.0,927248.2,-4592517.5,-5179588.0
93,5525245.0,927703.4,-4597541.5,-5185069.0
94,5519808.0,928026.06,-4591782.0,-5179449.5
95,5518132.5,927762.3,-4590370.0,-5177744.0
96,5517966.5,928034.6,-4589931.5,-5177611.5
