,neg_elbo,entropy,log_prior,recon
0,530954.94,-12633.629,-543588.56,-519516.84
1,451766.1,-9800.046,-461566.12,-440766.44
2,407234.16,-7159.509,-414393.66,-396656.12
3,354913.16,-3972.0867,-358885.25,-344340.78
4,330807.44,-1680.1996,-332487.62,-320539.22
5,302838.16,1088.6538,-301749.5,-292777.25
6,285246.56,3484.1052,-281762.47,-275337.7
7,270448.53,5558.5806,-264889.94,-260490.03
8,257025.77,8256.686,-248769.08,-247346.55
9,250257.88,10744.196,-239513.67,-240608.42
10,242085.83,13047.043,-229038.78,-232369.9
11,233956.2,15637.27,-218318.94,-224084.03
12,232407.11,17367.723,-215039.39,-222651.4
13,227918.62,19868.4,-208050.22,-218275.25
14,223667.23,21965.559,-201701.67,-213744.14
15,220117.92,24015.2,-196102.72,-210013.56
16,217508.17,25597.447,-191910.72,-207440.52
17,216741.47,27619.908,-189121.56,-206386.28
18,215894.34,29326.488,-186567.86,-205525.31
19,212969.8,30092.156,-182877.64,-202437.08
20,213059.55,31933.084,-181126.47,-202330.38
21,211437.52,33806.234,-177631.28,-200412.56
22,210757.78,34246.28,-176511.5,-199710.31
23,210093.75,36188.32,-173905.42,-198895.19
24,209809.69,35885.176,-173924.52,-198720.02
25,208541.9,37916.27,-170625.64,-197092.92
26,208651.86,39163.52,-169488.34,-197024.36
27,208208.72,40499.785,-167708.94,-196372.36
28,208099.05,40747.293,-167351.75,-196139.03
29,207723.19,41533.906,-166189.28,-195665.2
30,207702.95,41893.957,-165809.0,-195596.17
31,207518.36,42357.73,-165160.62,-195444.78
32,207856.12,43182.77,-164673.36,-195579.2
33,205642.56,43272.664,-162369.9,-193384.11
34,205612.44,44354.652,-161257.78,-193247.44
35,206308.33,44776.082,-161532.25,-193805.58
36,205921.9,44265.18,-161656.73,-193380.98
37,205444.38,44858.82,-160585.55,-192874.44
38,205738.62,45280.562,-160458.06,-193058.33
39,204927.27,45296.14,-159631.12,-192238.78
40,204805.56,44985.125,-159820.44,-192045.92
41,205463.14,45343.78,-160119.36,-192697.22
42,204802.94,44763.07,-160039.86,-192180.9
43,203813.62,45757.94,-158055.69,-190881.58
44,204445.34,44517.117,-159928.22,-191781.47
45,204266.75,44764.62,-159502.12,-191414.89
46,204009.39,43833.547,-160175.84,-191239.33
47,203703.22,44159.06,-159544.16,-190961.45
48,204153.47,44392.395,-159761.08,-191447.44
49,204102.78,44690.47,-159412.31,-191239.94
50,204410.6,44131.832,-160278.77,-191673.94
51,203438.1,43881.664,-159556.42,-190614.56
52,204108.89,44040.426,-160068.47,-191216.77
53,204123.73,43450.723,-160673.02,-191410.31
54,203497.48,43676.8,-159820.69,-190667.6
55,203711.83,43004.08,-160707.75,-190953.78
56,204518.7,42941.344,-161577.36,-191892.19
57,203503.02,42931.11,-160571.9,-190725.86
58,203173.34,42560.707,-160612.64,-190397.53
59,202974.64,42508.105,-160466.53,-190042.58
60,203006.34,43309.78,-159696.56,-190099.45
61,202962.81,42646.402,-160316.4,-189893.48
62,202512.88,42726.914,-159785.97,-189487.34
63,202933.22,41728.504,-161204.72,-190206.14
64,202795.1,42129.562,-160665.53,-189990.69
65,202906.45,42162.426,-160744.03,-189994.16
66,202591.52,41285.875,-161305.64,-189738.44
67,202607.9,41354.375,-161253.53,-189788.67
68,202785.11,41067.81,-161717.3,-189972.23
69,202710.64,40392.965,-162317.67,-190118.17
70,202490.8,40676.887,-161813.9,-189713.0
71,202759.06,40900.57,-161858.5,-190059.58
72,202502.97,40638.258,-161864.72,-189723.0
73,202454.34,39585.53,-162868.81,-189825.61
74,202357.3,39582.246,-162775.05,-189652.7
75,202192.84,40214.664,-161978.19,-189338.77
76,202072.02,40451.69,-161620.33,-189223.14
77,202801.77,39066.45,-163735.31,-190187.06
78,201809.19,39704.375,-162104.81,-189108.92
79,202587.75,38992.523,-163595.22,-190021.58
80,202576.33,39359.297,-163217.03,-189866.11
81,201924.77,38856.543,-163068.22,-189128.5
82,201830.62,38763.645,-163066.98,-189057.92
83,202479.58,39450.36,-163029.22,-189739.03
84,202346.06,39245.27,-163100.8,-189597.3
85,201597.84,38345.96,-163251.88,-188994.44
86,201959.03,38870.37,-163088.66,-189147.86
87,201360.62,39476.68,-161883.94,-188464.39
88,201482.52,39156.473,-162326.05,-188595.48
89,201887.83,38373.605,-163514.22,-189310.06
90,201144.0,38640.02,-162503.98,-188273.44
91,200966.61,38508.145,-162458.47,-188177.12
92,201813.2,38267.074,-163546.12,-189050.64
93,201793.5,39164.6,-162628.89,-189052.1
94,202012.48,39538.855,-162473.62,-189154.67
95,201637.73,38878.09,-162759.64,-188932.53
96,201338.44,38186.97,-163151.47,-188624.31
97,200849.67,38292.473,-162557.2,-188068.34
98,201659.28,38039.344,-163619.94,-188964.31
99,201851.0,37981.32,-163869.69,-189258.31
100,201519.53,39082.21,-162437.33,-188668.89
101,200752.25,38711.79,-162040.47,-187934.83
102,200843.73,38203.395,-162640.34,-188026.84
103,201075.38,38905.965,-162169.4,-188207.42
104,200625.34,38828.61,-161796.73,-187653.83
105,201109.97,37890.65,-163219.33,-188403.92
106,201273.38,38274.76,-162998.61,-188452.81
107,201053.08,38056.64,-162996.44,-188229.58
108,201005.47,38671.348,-162334.12,-188150.66
109,200873.34,38508.723,-162364.62,-188060.5
110,200755.6,38147.8,-162607.8,-187854.25
111,200709.48,38492.95,-162216.53,-187859.92
112,200085.55,38087.613,-161997.94,-187251.33
113,200462.16,38527.492,-161934.66,-187307.16
114,199812.36,38123.64,-161688.72,-186813.4
115,199960.4,38183.355,-161777.05,-187075.0
116,201114.94,38066.33,-163048.61,-188311.5
117,200523.2,38433.605,-162089.6,-187508.11
118,200913.58,38697.215,-162216.36,-187886.05
119,199895.47,38671.457,-161224.02,-186901.2
120,200639.53,37854.7,-162784.83,-187758.48
121,200597.48,38167.434,-162430.05,-187730.89
122,200425.64,37942.434,-162483.2,-187462.03
123,200235.62,38997.79,-161237.83,-187136.44
124,199855.83,38923.676,-160932.16,-186800.02
125,200124.4,38063.52,-162060.89,-187131.61
126,200369.38,38332.375,-162037.0,-187317.47
127,199650.48,38418.16,-161232.33,-186512.88
128,199809.5,38384.465,-161425.03,-186832.89
129,199802.23,39089.766,-160712.47,-186559.31
130,199895.84,37728.35,-162167.48,-186879.72
131,199942.28,38252.996,-161689.28,-186947.14
132,199518.72,38789.414,-160729.31,-186425.19
133,199291.81,38885.383,-160406.44,-186252.28
134,199875.53,38447.41,-161428.12,-186873.9
135,199618.56,39120.02,-160498.55,-186461.72
136,199675.69,38997.69,-160678.0,-186547.17
137,199519.8,39423.223,-160096.58,-186219.94
138,199171.25,39001.164,-160170.08,-186008.2
139,199204.56,38929.965,-160274.6,-185967.84
140,199487.56,38895.75,-160591.81,-186267.77
141,199359.88,39570.46,-159789.4,-186046.05
142,198338.25,38821.445,-159516.81,-185071.47
143,199383.02,39616.44,-159766.58,-186119.69
144,198956.75,39540.6,-159416.14,-185587.81
145,198868.16,39090.21,-159777.94,-185694.06
146,198302.47,39883.945,-158418.53,-184910.84
147,199154.84,38948.977,-160205.86,-185838.94
148,198803.78,39328.008,-159475.77,-185407.55
149,198787.23,39341.637,-159445.6,-185483.83
150,198367.9,39531.56,-158836.34,-185015.7
151,198471.45,39925.562,-158545.89,-185004.6
152,197776.94,40219.1,-157557.84,-184226.69
153,198340.67,39883.89,-158456.78,-184902.02
154,198574.47,39341.4,-159233.06,-185216.7
