,neg_elbo,entropy,log_prior,recon
0,7718504.0,575693.06,-7142810.5,-7472704.0
1,6863659.0,553746.94,-6309912.0,-6613403.0
2,6443886.5,530274.7,-5913612.0,-6188155.0
3,6157341.5,517316.94,-5640023.5,-5898548.5
4,5955897.5,510406.7,-5445491.0,-5694910.0
5,5784441.0,509994.1,-5274446.5,-5522003.0
6,5661595.0,512111.2,-5149483.0,-5398115.0
7,5545909.5,515158.75,-5030751.0,-5281658.0
8,5432865.0,518094.56,-4914770.0,-5168111.0
9,5338237.5,521833.4,-4816405.0,-5072987.0
10,5253376.5,526204.44,-4727172.0,-4987973.0
11,5171967.0,531067.9,-4640899.0,-4906217.5
12,5091513.0,535729.25,-4555783.0,-4825565.5
13,5000671.0,541748.44,-4458923.0,-4734455.0
14,4894218.5,548327.94,-4345890.5,-4627781.5
15,4830706.0,558581.2,-4272125.0,-4563969.0
16,4803382.5,569923.2,-4233459.5,-4536501.0
17,4781287.5,578180.4,-4203106.5,-4514021.5
18,4764235.5,585450.06,-4178786.0,-4496769.5
19,4737369.0,591824.2,-4145544.5,-4469753.0
20,4725282.5,598978.4,-4126304.5,-4457490.5
21,4706254.5,605519.9,-4100734.8,-4438212.5
22,4684964.0,611432.06,-4073532.5,-4416829.5
23,4668512.5,619214.06,-4049298.8,-4400055.0
24,4648710.5,626261.6,-4022449.2,-4380023.0
25,4636329.0,632348.8,-4003980.0,-4367573.0
26,4620486.5,639142.3,-3981344.5,-4351515.0
27,4599717.5,645369.9,-3954347.2,-4330596.5
28,4590339.0,651926.2,-3938412.8,-4320837.0
29,4572469.5,658893.2,-3913576.8,-4302681.0
30,4556653.5,664562.0,-3892091.5,-4286912.5
31,4548275.5,670382.0,-3877893.5,-4278328.5
32,4542341.0,675337.0,-3867004.5,-4272319.5
33,4528887.0,679129.7,-3849756.8,-4258925.0
34,4528643.0,685368.94,-3843275.2,-4258385.5
35,4515586.5,688993.75,-3826593.2,-4245449.5
36,4511028.5,692313.4,-3818714.8,-4240920.5
37,4503479.5,696848.06,-3806632.0,-4233193.5
38,4499392.5,699753.44,-3799638.8,-4229043.5
39,4492656.0,703845.5,-3788810.5,-4222104.0
40,4491693.0,706112.5,-3785580.8,-4221252.0
41,4481215.5,709436.7,-3771779.2,-4210603.0
42,4477264.5,711859.4,-3765405.5,-4206618.0
43,4478988.0,715505.1,-3763483.2,-4208363.0
44,4474182.0,717315.8,-3756866.5,-4203262.5
45,4472895.0,719248.8,-3753646.0,-4202003.5
46,4460901.0,721588.9,-3739312.0,-4189911.5
47,4465389.0,723447.6,-3741940.8,-4194197.5
48,4459168.5,725201.5,-3733966.8,-4187974.5
49,4456117.0,727228.8,-3728888.5,-4184740.8
50,4453341.0,729273.56,-3724067.2,-4181905.5
